Geography,Labour Force Ac,Total - Age groups,  15-24 years,    15-19 years,    20-24 years,  25-34 years,  35-44 years,  45-54 years,  55-64 years,  65 years and over
00,Total - Labour force activity,22628925.0,3849025.0,1956115.0,1892910.0,4481315.0,4843030.0,3697970.0,2477815.0,3279770.0
00,  Total labour force,14812700.0,2361660.0,857730.0,1503925.0,3781870.0,4132945.0,3013815.0,1251460.0,270945.0
00,    Employed,13318740.0,1943605.0,694890.0,1248715.0,3390715.0,3789960.0,2792585.0,1146675.0,255205.0
00,    Unemployed,1493960.0,418055.0,162845.0,255215.0,391150.0,342985.0,221230.0,104790.0,15745.0
00,  Not in the labour force,7816225.0,1487365.0,1098385.0,388980.0,699445.0,710085.0,684155.0,1226350.0,3008825.0
00,Participation rate,65.5,61.4,43.8,79.5,84.4,85.3,81.5,50.5,8.3
00,Employment rate,58.9,50.5,35.5,66.0,75.7,78.3,75.5,46.3,7.8
00,Unemployment rate,10.1,17.7,19.0,17.0,10.3,8.3,7.3,8.4,5.8
10,Total - Labour force activity,437345.0,88240.0,45545.0,42695.0,85060.0,91600.0,72695.0,44630.0,55120.0
10,  Total labour force,246060.0,40110.0,11775.0,28335.0,65620.0,71255.0,51225.0,16150.0,1695.0
10,    Employed,184325.0,25325.0,7560.0,17765.0,48880.0,55275.0,41200.0,12310.0,1335.0
10,    Unemployed,61735.0,14790.0,4215.0,10575.0,16745.0,15980.0,10025.0,3845.0,360.0
10,  Not in the labour force,191280.0,48125.0,33770.0,14350.0,19440.0,20345.0,21465.0,28480.0,53425.0
10,Participation rate,56.3,45.5,25.9,66.4,77.1,77.8,70.5,36.2,3.1
10,Employment rate,42.1,28.7,16.6,41.6,57.5,60.3,56.7,27.6,2.4
10,Unemployment rate,25.1,36.9,35.8,37.3,25.5,22.4,19.6,23.8,21.2
1001,Total - Labour force activity,199200.0,40175.0,19880.0,20295.0,40050.0,41755.0,32715.0,19465.0,25040.0
1001,  Total labour force,118010.0,20035.0,5855.0,14185.0,32230.0,33670.0,23810.0,7280.0,985.0
1001,    Employed,95415.0,14040.0,4120.0,9925.0,26035.0,28125.0,20395.0,6020.0,795.0
1001,    Unemployed,22600.0,5995.0,1735.0,4260.0,6195.0,5545.0,3410.0,1260.0,195.0
1001,  Not in the labour force,81190.0,20140.0,14025.0,6115.0,7820.0,8085.0,8905.0,12185.0,24055.0
1001,Participation rate,59.2,49.9,29.5,69.9,80.5,80.6,72.8,37.4,3.9
1001,Employment rate,47.9,34.9,20.7,48.9,65.0,67.4,62.3,30.9,3.2
1001,Unemployment rate,19.2,29.9,29.6,30.0,19.2,16.5,14.3,17.3,19.8
1001105,Total - Labour force activity,265.0,75.0,45.0,30.0,40.0,75.0,20.0,10.0,45.0
1001105,  Total labour force,80.0,15.0,0.0,20.0,30.0,25.0,0.0,10.0,0.0
1001105,    Employed,45.0,15.0,0.0,15.0,10.0,15.0,0.0,0.0,0.0
1001105,    Unemployed,35.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0
1001105,  Not in the labour force,180.0,55.0,45.0,10.0,10.0,45.0,10.0,10.0,45.0
1001105,Participation rate,30.2,20.0,0.0,66.7,75.0,33.3,0.0,100.0,0.0
1001105,Employment rate,17.0,20.0,0.0,50.0,25.0,20.0,0.0,0.0,0.0
1001105,Unemployment rate,43.8,0.0,0.0,50.0,66.7,40.0,0.0,0.0,0.0
1001109,Total - Labour force activity,50.0,10.0,0.0,10.0,15.0,0.0,15.0,0.0,0.0
1001109,  Total labour force,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1001109,    Employed,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
1001109,    Unemployed,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1001109,  Not in the labour force,40.0,10.0,0.0,10.0,10.0,0.0,15.0,10.0,0.0
1001109,Participation rate,30.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0
1001109,Employment rate,20.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0
1001109,Unemployment rate,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1001113,Total - Labour force activity,830.0,170.0,80.0,90.0,140.0,175.0,140.0,60.0,140.0
1001113,  Total labour force,315.0,60.0,10.0,50.0,70.0,110.0,60.0,10.0,0.0
1001113,    Employed,180.0,20.0,0.0,20.0,30.0,75.0,45.0,0.0,0.0
1001113,    Unemployed,135.0,35.0,10.0,25.0,45.0,30.0,20.0,10.0,0.0
1001113,  Not in the labour force,515.0,110.0,70.0,40.0,70.0,65.0,80.0,45.0,140.0
1001113,Participation rate,38.0,35.3,12.5,55.6,50.0,62.9,42.9,16.7,0.0
1001113,Employment rate,21.7,11.8,0.0,22.2,21.4,42.9,32.1,0.0,0.0
1001113,Unemployment rate,42.9,58.3,100.0,50.0,64.3,27.3,33.3,100.0,0.0
1001120,Total - Labour force activity,170.0,60.0,30.0,25.0,10.0,50.0,25.0,10.0,15.0
1001120,  Total labour force,90.0,15.0,0.0,15.0,10.0,50.0,20.0,0.0,0.0
1001120,    Employed,40.0,10.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0
1001120,    Unemployed,50.0,15.0,0.0,15.0,10.0,25.0,10.0,0.0,0.0
1001120,  Not in the labour force,80.0,45.0,30.0,15.0,10.0,0.0,10.0,10.0,15.0
1001120,Participation rate,52.9,25.0,0.0,60.0,100.0,100.0,80.0,0.0,0.0
1001120,Employment rate,23.5,16.7,0.0,0.0,0.0,50.0,60.0,0.0,0.0
1001120,Unemployment rate,55.6,100.0,0.0,100.0,100.0,50.0,50.0,0.0,0.0
1001124,Total - Labour force activity,1235.0,210.0,110.0,100.0,260.0,300.0,190.0,110.0,165.0
1001124,  Total labour force,690.0,115.0,25.0,90.0,210.0,210.0,125.0,25.0,0.0
1001124,    Employed,440.0,55.0,10.0,40.0,145.0,135.0,85.0,15.0,0.0
1001124,    Unemployed,250.0,65.0,10.0,50.0,65.0,75.0,45.0,10.0,0.0
1001124,  Not in the labour force,540.0,95.0,85.0,10.0,45.0,85.0,60.0,85.0,165.0
1001124,Participation rate,55.9,54.8,22.7,90.0,80.8,70.0,65.8,22.7,0.0
1001124,Employment rate,35.6,26.2,9.1,40.0,55.8,45.0,44.7,13.6,0.0
1001124,Unemployment rate,36.2,56.5,40.0,55.6,31.0,35.7,36.0,40.0,0.0
1001126,Total - Labour force activity,540.0,135.0,65.0,65.0,60.0,95.0,100.0,60.0,85.0
1001126,  Total labour force,245.0,35.0,10.0,25.0,45.0,75.0,65.0,20.0,0.0
1001126,    Employed,145.0,15.0,0.0,10.0,30.0,40.0,35.0,20.0,0.0
1001126,    Unemployed,100.0,20.0,10.0,15.0,15.0,35.0,25.0,0.0,0.0
1001126,  Not in the labour force,295.0,95.0,60.0,40.0,15.0,25.0,35.0,35.0,85.0
1001126,Participation rate,45.4,25.9,15.4,38.5,75.0,78.9,65.0,33.3,0.0
1001126,Employment rate,26.9,11.1,0.0,15.4,50.0,42.1,35.0,33.3,0.0
