Geography,Labour Force Ac,Total - Age groups,  15-19 years,  20-24 years,  25-44 years,    25-29 years,    30-34 years,    35-44 years,  45-64 years,    45-54 years,    55-64 years,  65 years and over
01,Total - Labour force activity,23901360.0,2044350.0,1943850.0,9047180.0,1887195.0,2085890.0,5074090.0,7241135.0,4393180.0,2847955.0,3624850.0
01,  In the labour force,15872070.0,1020180.0,1561265.0,7781760.0,1607760.0,1785860.0,4388140.0,5187515.0,3649580.0,1537930.0,321355.0
01,    Employed,14695135.0,868325.0,1360740.0,7261575.0,1477585.0,1659640.0,4124350.0,4899370.0,3455025.0,1444345.0,305120.0
01,    Unemployed,1176935.0,151855.0,200515.0,520185.0,130175.0,126225.0,263790.0,288145.0,194555.0,93585.0,16235.0
01,  Not in the labour force,8029290.0,1024170.0,382585.0,1265415.0,279435.0,300025.0,685950.0,2053625.0,743605.0,1310020.0,3303495.0
01,Participation rate,66.4,49.9,80.3,86.0,85.2,85.6,86.5,71.6,83.1,54.0,8.9
01,Employment rate,61.5,42.5,70.0,80.3,78.3,79.6,81.3,67.7,78.6,50.7,8.4
01,Unemployment rate,7.4,14.9,12.8,6.7,8.1,7.1,6.0,5.6,5.3,6.1,5.1
10,Total - Labour force activity,419015.0,39355.0,33750.0,151585.0,30420.0,36115.0,85050.0,135270.0,82605.0,52665.0,59060.0
10,  In the labour force,241495.0,11850.0,23740.0,121830.0,23985.0,29285.0,68560.0,81905.0,60820.0,21080.0,2180.0
10,    Employed,188820.0,7830.0,15975.0,96650.0,18515.0,23025.0,55110.0,66510.0,49800.0,16705.0,1850.0
10,    Unemployed,52685.0,4020.0,7765.0,25175.0,5460.0,6260.0,13455.0,15390.0,11015.0,4375.0,330.0
10,  Not in the labour force,177515.0,27500.0,10005.0,29755.0,6440.0,6825.0,16485.0,53370.0,21790.0,31580.0,56885.0
10,Participation rate,57.6,30.1,70.3,80.4,78.8,81.1,80.6,60.5,73.6,40.0,3.7
10,Employment rate,45.1,19.9,47.3,63.8,60.9,63.8,64.8,49.2,60.3,31.7,3.1
10,Unemployment rate,21.8,33.9,32.7,20.7,22.8,21.4,19.6,18.8,18.1,20.8,15.1
