Geography,Labour force ac,Total - Age groups,  15 to 24 years,  25 to 54 years,    25 to 34 years,    35 to 44 years,    45 to 54 years,  55 to 64 years,  65 to 74 years,  75 years and over
01,Total - Labour force activity,25664220.0,4207810.0,13732585.0,3987075.0,4794095.0,4951415.0,3649530.0,2255640.0,1818655.0
01,  In the labour force,17146135.0,2757975.0,11765560.0,3416605.0,4158045.0,4190910.0,2179355.0,361740.0,81505.0
01,    Employed,16021180.0,2405385.0,11128965.0,3191565.0,3941760.0,3995645.0,2065135.0,344720.0,76970.0
01,    Unemployed,1124960.0,352590.0,636595.0,225040.0,216290.0,195260.0,114220.0,17020.0,4530.0
01,  Not in the labour force,8518090.0,1449835.0,1967020.0,570465.0,636055.0,760505.0,1470170.0,1893900.0,1737150.0
01,Participation rate,66.8,65.5,85.7,85.7,86.7,84.6,59.7,16.0,4.5
01,Employment rate,62.4,57.2,81.0,80.0,82.2,80.7,56.6,15.3,4.2
01,Unemployment rate,6.6,12.8,5.4,6.6,5.2,4.7,5.2,4.7,5.6
10,Total - Labour force activity,422385.0,65355.0,221705.0,58260.0,78045.0,85395.0,69125.0,39115.0,27075.0
10,  In the labour force,248680.0,34585.0,178580.0,47730.0,64435.0,66410.0,32240.0,2870.0,400.0
10,    Employed,202525.0,25315.0,148475.0,38770.0,54405.0,55305.0,25985.0,2390.0,355.0
10,    Unemployed,46155.0,9270.0,30095.0,8965.0,10030.0,11105.0,6255.0,480.0,50.0
10,  Not in the labour force,173705.0,30775.0,43125.0,10530.0,13610.0,18990.0,36885.0,36240.0,26675.0
10,Participation rate,58.9,52.9,80.5,81.9,82.6,77.8,46.6,7.3,1.5
10,Employment rate,47.9,38.7,67.0,66.5,69.7,64.8,37.6,6.1,1.3
10,Unemployment rate,18.6,26.8,16.9,18.8,15.6,16.7,19.4,16.7,12.5
1001,Total - Labour force activity,207055.0,34545.0,111060.0,32160.0,38275.0,40625.0,31740.0,17140.0,12570.0
1001,  In the labour force,128300.0,20050.0,91510.0,27010.0,32345.0,32150.0,15115.0,1445.0,175.0
1001,    Employed,111580.0,15755.0,81100.0,23215.0,29020.0,28860.0,13270.0,1300.0,165.0
1001,    Unemployed,16720.0,4295.0,10415.0,3800.0,3325.0,3290.0,1850.0,145.0,15.0
1001,  Not in the labour force,78755.0,14495.0,19545.0,5145.0,5920.0,8475.0,16625.0,15700.0,12395.0
1001,Participation rate,62.0,58.0,82.4,84.0,84.5,79.1,47.6,8.4,1.4
1001,Employment rate,53.9,45.6,73.0,72.2,75.8,71.0,41.8,7.6,1.3
1001,Unemployment rate,13.0,21.4,11.4,14.1,10.3,10.2,12.2,10.0,8.6
1001105,Total - Labour force activity,205.0,35.0,110.0,15.0,60.0,35.0,40.0,10.0,10.0
1001105,  In the labour force,125.0,10.0,90.0,10.0,50.0,35.0,30.0,0.0,0.0
1001105,    Employed,60.0,10.0,50.0,0.0,35.0,10.0,0.0,0.0,0.0
1001105,    Unemployed,65.0,0.0,40.0,10.0,15.0,20.0,20.0,0.0,0.0
