Geography,Labour force st,Total - Age groups,  15 to 24 years,    15 to 19 years,    20 to 24 years,  25 to 64 years,    25 to 44 years,    45 to 64 years,  65 years and over
01,Total - Labour force status,27259525.0,4324070.0,2160275.0,2163795.0,18383920.0,8755380.0,9628540.0,4551535.0
01,  In the labour force,17990080.0,2613555.0,938185.0,1675365.0,14761045.0,7541800.0,7219240.0,615490.0
01,    Employed,16595030.0,2180880.0,752530.0,1428350.0,13842115.0,7042700.0,6799415.0,572040.0
01,    Unemployed,1395050.0,432670.0,185660.0,247015.0,918930.0,499105.0,419825.0,43445.0
01,  Not in the labour force,9269445.0,1710515.0,1222085.0,488430.0,3622875.0,1213585.0,2409300.0,3936050.0
01,Participation rate,66.0,60.4,43.4,77.4,80.3,86.1,75.0,13.5
01,Employment rate,60.9,50.4,34.8,66.0,75.3,80.4,70.6,12.6
01,Unemployment rate,7.8,16.6,19.8,14.7,6.2,6.6,5.8,7.1
10,Total - Labour force status,431045.0,59445.0,29560.0,29890.0,295240.0,128795.0,166450.0,76360.0
10,  In the labour force,255890.0,31845.0,10010.0,21840.0,217710.0,106295.0,111420.0,6335.0
10,    Employed,218625.0,24570.0,7620.0,16945.0,188775.0,92745.0,96030.0,5285.0
10,    Unemployed,37265.0,7280.0,2385.0,4890.0,28935.0,13550.0,15385.0,1055.0
10,  Not in the labour force,175155.0,27600.0,19550.0,8055.0,77535.0,22505.0,55030.0,70025.0
10,Participation rate,59.4,53.6,33.9,73.1,73.7,82.5,66.9,8.3
10,Employment rate,50.7,41.3,25.8,56.7,63.9,72.0,57.7,6.9
10,Unemployment rate,14.6,22.9,23.8,22.4,13.3,12.7,13.8,16.7
1001,Total - Labour force status,218610.0,33020.0,14920.0,18100.0,150945.0,70780.0,80165.0,34645.0
1001,  In the labour force,138435.0,19455.0,5915.0,13540.0,115340.0,60245.0,55095.0,3640.0
1001,    Employed,124920.0,15950.0,4735.0,11210.0,105685.0,54905.0,50780.0,3285.0
1001,    Unemployed,13520.0,3510.0,1185.0,2325.0,9655.0,5345.0,4315.0,350.0
1001,  Not in the labour force,80175.0,13565.0,9000.0,4565.0,35610.0,10535.0,25070.0,31005.0
1001,Participation rate,63.3,58.9,39.6,74.8,76.4,85.1,68.7,10.5
1001,Employment rate,57.1,48.3,31.7,61.9,70.0,77.6,63.3,9.5
1001,Unemployment rate,9.8,18.0,20.0,17.2,8.4,8.9,7.8,9.6
1001101,Total - Labour force status,55.0,0.0,0.0,0.0,30.0,0.0,25.0,25.0
1001101,  In the labour force,25.0,0.0,0.0,0.0,25.0,0.0,20.0,0.0
1001101,    Employed,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
1001101,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001101,  Not in the labour force,35.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1001101,Participation rate,45.5,0.0,0.0,0.0,83.3,0.0,80.0,0.0
1001101,Employment rate,27.3,0.0,0.0,0.0,50.0,0.0,0.0,0.0
1001101,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001105,Total - Labour force status,145.0,30.0,20.0,0.0,95.0,0.0,85.0,20.0
1001105,  In the labour force,90.0,0.0,0.0,0.0,75.0,0.0,65.0,0.0
1001105,    Employed,40.0,0.0,0.0,0.0,40.0,0.0,35.0,0.0
1001105,    Unemployed,45.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0
1001105,  Not in the labour force,65.0,15.0,15.0,0.0,20.0,0.0,25.0,25.0
1001105,Participation rate,62.1,0.0,0.0,0.0,78.9,0.0,76.5,0.0
1001105,Employment rate,27.6,0.0,0.0,0.0,42.1,0.0,41.2,0.0
1001105,Unemployment rate,50.0,0.0,0.0,0.0,40.0,0.0,46.2,0.0
1001113,Total - Labour force status,500.0,60.0,30.0,35.0,310.0,60.0,255.0,120.0
1001113,  In the labour force,255.0,25.0,0.0,20.0,210.0,45.0,165.0,20.0
1001113,    Employed,185.0,0.0,0.0,0.0,160.0,25.0,135.0,0.0
1001113,    Unemployed,65.0,0.0,0.0,0.0,50.0,20.0,30.0,0.0
1001113,  Not in the labour force,245.0,40.0,30.0,0.0,105.0,0.0,85.0,105.0
1001113,Participation rate,51.0,41.7,0.0,57.1,67.7,75.0,64.7,16.7
1001113,Employment rate,37.0,0.0,0.0,0.0,51.6,41.7,52.9,0.0
1001113,Unemployment rate,25.5,0.0,0.0,0.0,23.8,44.4,18.2,0.0
1001120,Total - Labour force status,50.0,0.0,0.0,0.0,30.0,0.0,25.0,20.0
1001120,  In the labour force,25.0,0.0,0.0,0.0,25.0,0.0,20.0,0.0
1001120,    Employed,25.0,0.0,0.0,0.0,20.0,0.0,15.0,0.0
1001120,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001120,  Not in the labour force,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1001120,Participation rate,50.0,0.0,0.0,0.0,83.3,0.0,80.0,0.0
1001120,Employment rate,50.0,0.0,0.0,0.0,66.7,0.0,60.0,0.0
1001120,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001131,Total - Labour force status,275.0,15.0,15.0,0.0,175.0,60.0,115.0,85.0
1001131,  In the labour force,145.0,10.0,0.0,0.0,130.0,50.0,80.0,0.0
1001131,    Employed,125.0,0.0,0.0,0.0,115.0,40.0,75.0,0.0
1001131,    Unemployed,20.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
1001131,  Not in the labour force,130.0,0.0,0.0,0.0,40.0,0.0,30.0,80.0
1001131,Participation rate,52.7,66.7,0.0,0.0,74.3,83.3,69.6,0.0
1001131,Employment rate,45.5,0.0,0.0,0.0,65.7,66.7,65.2,0.0
1001131,Unemployment rate,13.8,0.0,0.0,0.0,11.5,0.0,0.0,0.0
1001144,Total - Labour force status,70.0,0.0,0.0,0.0,50.0,0.0,25.0,15.0
1001144,  In the labour force,30.0,0.0,0.0,0.0,30.0,0.0,15.0,0.0
1001144,    Employed,30.0,0.0,0.0,0.0,25.0,0.0,15.0,0.0
1001144,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001144,  Not in the labour force,45.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0
1001144,Participation rate,42.9,0.0,0.0,0.0,60.0,0.0,60.0,0.0
1001144,Employment rate,42.9,0.0,0.0,0.0,50.0,0.0,60.0,0.0
1001144,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001149,Total - Labour force status,395.0,40.0,20.0,0.0,290.0,75.0,215.0,65.0
1001149,  In the labour force,230.0,25.0,0.0,0.0,200.0,50.0,145.0,0.0
1001149,    Employed,160.0,0.0,0.0,0.0,150.0,35.0,125.0,0.0
1001149,    Unemployed,70.0,30.0,0.0,0.0,45.0,0.0,25.0,0.0
1001149,  Not in the labour force,165.0,0.0,0.0,0.0,90.0,20.0,70.0,60.0
1001149,Participation rate,58.2,62.5,0.0,0.0,69.0,66.7,67.4,0.0
1001149,Employment rate,40.5,0.0,0.0,0.0,51.7,46.7,58.1,0.0
1001149,Unemployment rate,30.4,100.0,0.0,0.0,22.5,0.0,17.2,0.0
1001169,Total - Labour force status,280.0,25.0,15.0,0.0,210.0,40.0,170.0,50.0
1001169,  In the labour force,145.0,0.0,0.0,0.0,140.0,25.0,120.0,0.0
1001169,    Employed,105.0,0.0,0.0,0.0,105.0,15.0,85.0,0.0
1001169,    Unemployed,45.0,0.0,0.0,0.0,40.0,0.0,30.0,0.0
1001169,  Not in the labour force,140.0,20.0,15.0,0.0,70.0,15.0,55.0,50.0
1001169,Participation rate,51.8,0.0,0.0,0.0,66.7,62.5,70.6,0.0
1001169,Employment rate,37.5,0.0,0.0,0.0,50.0,37.5,50.0,0.0
1001169,Unemployment rate,31.0,0.0,0.0,0.0,28.6,0.0,25.0,0.0
1001174,Total - Labour force status,200.0,25.0,0.0,0.0,145.0,25.0,125.0,30.0
1001174,  In the labour force,105.0,0.0,0.0,0.0,90.0,15.0,80.0,0.0
1001174,    Employed,80.0,0.0,0.0,0.0,70.0,0.0,65.0,0.0
1001174,    Unemployed,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1001174,  Not in the labour force,100.0,20.0,0.0,0.0,55.0,0.0,45.0,25.0
1001174,Participation rate,52.5,0.0,0.0,0.0,62.1,60.0,64.0,0.0
1001174,Employment rate,40.0,0.0,0.0,0.0,48.3,0.0,52.0,0.0
1001174,Unemployment rate,19.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0
1001186,Total - Labour force status,75.0,20.0,15.0,0.0,35.0,0.0,25.0,20.0
1001186,  In the labour force,45.0,0.0,0.0,0.0,25.0,0.0,15.0,0.0
1001186,    Employed,40.0,0.0,0.0,0.0,20.0,0.0,15.0,0.0
1001186,    Unemployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001186,  Not in the labour force,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1001186,Participation rate,60.0,0.0,0.0,0.0,71.4,0.0,60.0,0.0
1001186,Employment rate,53.3,0.0,0.0,0.0,57.1,0.0,60.0,0.0
1001186,Unemployment rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001192,Total - Labour force status,80.0,0.0,0.0,0.0,40.0,20.0,20.0,35.0
1001192,  In the labour force,35.0,0.0,0.0,0.0,25.0,0.0,10.0,0.0
1001192,    Employed,30.0,0.0,0.0,0.0,25.0,0.0,10.0,0.0
