"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.0","","","","1"
"2006-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","65.9","","","","1"
"2006-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","65.8","","","","1"
"2006-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","65.8","","","","1"
"2006-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","65.8","","","","1"
"2006-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","65.8","","","","1"
"2006-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","65.9","","","","1"
"2006-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","65.9","","","","1"
"2006-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.0","","","","1"
"2006-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.0","","","","1"
"2007-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.0","","","","1"
"2007-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.0","","","","1"
"2007-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.1","","","","1"
"2007-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.1","","","","1"
"2007-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.1","","","","1"
"2007-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.2","","","","1"
"2007-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.2","","","","1"
"2007-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.3","","","","1"
"2007-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.4","","","","1"
"2007-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.5","","","","1"
"2007-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.5","","","","1"
"2007-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.6","","","","1"
"2008-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.6","","","","1"
"2008-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.7","","","","1"
"2008-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.7","","","","1"
"2008-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.8","","","","1"
"2008-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.8","","","","1"
"2008-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","66.9","","","","1"
"2008-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.0","","","","1"
"2008-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.1","","","","1"
"2008-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.1","","","","1"
"2008-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.2","","","","1"
"2008-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.2","","","","1"
"2008-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.3","","","","1"
"2009-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.3","","","","1"
"2009-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.3","","","","1"
"2009-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.3","","","","1"
"2009-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.4","","","","1"
"2009-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.4","","","","1"
"2009-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.5","","","","1"
"2009-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.5","","","","1"
"2009-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.6","","","","1"
"2009-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.6","","","","1"
"2009-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.7","","","","1"
"2009-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.7","","","","1"
"2009-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.7","","","","1"
"2010-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.7","","","","1"
"2010-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.7","","","","1"
"2010-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.8","","","","1"
"2010-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.8","","","","1"
"2010-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2010-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2010-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.0","","","","1"
"2010-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.0","","","","1"
"2010-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.0","","","","1"
"2010-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.1","","","","1"
"2010-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.1","","","","1"
"2010-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.1","","","","1"
"2011-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.1","","","","1"
"2011-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.0","","","","1"
"2011-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.0","","","","1"
"2011-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.0","","","","1"
"2011-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.0","","","","1"
